direcao,nota_media
Archie Borders,5.2
Archie Gips,4.8
Archie Mayo,6.555555555555555
"Archie Mayo, Alfred Hitchcock",6.5
"Archie Mayo, Fritz Lang",6.6
"Archie Mayo, John Cromwell",5.6
"Archie Mayo, Michael Curtiz",6.7
Ari Aster,7.3
Ari Davis,5.6
Ari Gold,5.95
"Ari Issler, Ben Snyder",4.9
Ari Kirschenbaum,4.35
Ari Novak,4.7
Ari Ryan,5.7
Ari Sandel,6.45
Ari Taub,5.6
Aric Avelino,6.1
Arie Posin,6.2
Ariel Vromen,5.933333333333334
Aris Iliopulos,5.8
Aristomenis Tsirbas,6.5
Arlene Sanford,4.95
Arliss Howard,6.0
Armand Garabidian,3.8
Armand Gazarian,2.3
Armand Mastroianni,4.9399999999999995
Armand Schaefer,5.300000000000001
Armand Weston,4.8
"Armen Kaprelian, Kent Llewellyn",5.4
Armyan Bernstein,5.75
Arne Glimcher,5.6
Arnold Grossman,6.0
Arnold Laven,6.409090909090909
Arnold Leibovit,7.0
"Aron Gaudet, Gita Pullapilly",6.2
Art Arutyunyan,2.2
Art Camacho,3.4545454545454546
Art Clokey,6.3
Art Linson,6.4
Art Names,5.1
Art Napoleon,6.6
Art Vitello,6.2
Arthur Allan Seidelman,5.45
Arthur Allen,5.6
Arthur Barron,6.75
Arthur Berthelet,6.4
Arthur Borman,6.7
"Arthur Borman, Nigel Dick",4.4
Arthur C. Pierce,3.5999999999999996
Arthur Cullipher,5.0
Arthur Diennet,6.4
Arthur Dreifuss,5.577777777777778
Arthur Egeli,4.05
Arthur Greville Collins,6.133333333333333
Arthur H. Leonard,4.7
Arthur H. Nadel,5.7
Arthur Hiller,6.137037037037037
Arthur Hilton,3.9
Arthur Hopkins,6.4
"Arthur J. Beckhard, Joseph Lee",5.2
Arthur J. Bressan Jr.,6.75
Arthur Jeffreys,4.0
Arthur Louis Fuller,4.2
Arthur Lubin,6.324242424242424
"Arthur Lubin, Gerry Chiniquy",6.6
"Arthur Lubin, Ralph Ceder",6.7
Arthur Luhn,3.3
Arthur Marks,5.8125
Arthur Muhammad,5.1
Arthur Penn,6.8307692307692305
Arthur Pierson,5.933333333333334
Arthur Ripley,6.233333333333333
Arthur Roberson,2.9
Arthur Vincie,4.8
Artie Mandelberg,4.75
Arun Konda,2.8
"Arye Gross, Gregory Gieras",4.5
Asger Leth,6.6
Ash Adams,4.8
Ash Avildsen,5.1
Ash Baron-Cohen,6.1000000000000005
"Ash Brannon, Chris Buck",6.7
Ash Christian,4.733333333333333
Ash Smith,2.5
Ashley Avis,5.5
Ashley Cahill,5.7
Ashley Hamilton,3.3
Ashton Root,5.1
Asif Ahmed,5.5
Asif Akbar,2.1
Asif Kapadia,4.7
Assaad Yacoub,4.5
Ate de Jong,6.0
Atom Egoyan,6.1
Attila Luca,1.8
Audrey Wells,6.0
Augustine Frizzell,6.0
Aurora Guerrero,6.2
Austen Jewell,5.6
Austin Bosley,4.2
Austin Chick,5.333333333333333
Austin Reading,3.3
Austin Smagalski,5.2
Austin Snell,3.0
Austin Stark,4.7
Austin Vesely,4.6
Autumn McAlpin,5.3
Auturo Gavino,5.449999999999999
Ava DuVernay,5.5
Avery Crounse,5.833333333333333
Avi Nesher,4.92
Ayan Pratap,6.1
"Ayush Banker, Justin LaReau",3.3
Azazel Jacobs,6.18
B. Harrison Smith,3.1999999999999997
B. Luciano Barsuglia,4.575
B. Reeves Eason,5.7
"B. Reeves Eason, Armand Schaefer",7.0
"B. Reeves Eason, John T. Coyle",5.4
"B. Reeves Eason, Joseph Kane",5.75
B. Scott O'Malley,5.6
"B.A. Lewandowski, Tony Wash",3.7
B.J. Alexander,5.6
"B.J. Alexander, Brian Brough",6.1
B.J. Nelson,4.4
BC Fourteen,2.7
BJ Davis,4.6
BJ McDonnell,5.7
Babak Najafi,4.9
Babak Shokrian,5.5
Babar Ahmed,2.9
Bailey Kobe,4.75
Bala Rajasekharuni,5.9
Baltasar Kormákur,6.65
